
date,ticker,event_type,headline,body,severity_true,sentiment,direction_true
2005-01-02,BAC,SEC_ENFORCEMENT,BAC to restate earnings after SEC investigation,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",1,negative,-1
2005-01-03,NVDA,SEC_ENFORCEMENT,NVDA fined by SEC for disclosure violations,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",2,negative,-1
2005-01-04,GOOG,SUPPLY_CHAIN,GOOG resolves supply chain compliance issue,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0
2005-01-05,LMT,LABOR_LAWSUIT,LMT settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1
2005-01-08,LLY,PATENT_IP,Court rules on intellectual property dispute involving LLY,The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,2,negative,-1
2005-01-08,PFE,FDA_APPROVAL,PFE announces FDA approval of breakthrough treatment,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",0,positive,1
2005-01-10,GOOG,REGULATORY_UPDATE,GOOG issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0
2005-01-12,PEP,PRODUCT_LIABILITY,PEP reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,0,negative,-1
2005-01-17,MSFT,LABOR_LAWSUIT,MSFT sued over labor practice allegations,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,5,negative,-1
2005-01-19,XOM,SEC_ENFORCEMENT,SEC charges XOM with securities law violations,The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,1,negative,-1
2005-01-19,RTX,ANTITRUST,RTX faces antitrust investigation over market practices,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1
2005-01-19,BA,ANTITRUST,BA hit with antitrust lawsuit alleging monopolistic conduct,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,3,negative,-1
2005-01-21,ORCL,LABOR_LAWSUIT,ORCL sued over labor practice allegations,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,2,negative,-1
2005-01-22,BAC,FINRA_ACTION,FINRA sanctions BAC subsidiary for compliance failures,The Financial Industry Regulatory Authority sanctioned the company's brokerage division for failing to supervise certain trades. The action includes a fine and remedial measures to improve compliance.,1,negative,-1
2005-01-29,COST,DATA_PRIVACY,COST fined for violating data privacy regulations,"An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",1,negative,-1
2005-01-31,TGT,LABOR_LAWSUIT,Employees file class-action labor lawsuit against TGT,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",1,negative,-1
2005-02-05,C,LABOR_LAWSUIT,Employees file class-action labor lawsuit against C,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,1,negative,-1
2005-02-08,JPM,ACCOUNTING_FRAUD,JPM investigated over alleged accounting misconduct,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1
2005-02-08,GS,LABOR_LAWSUIT,GS settles labor dispute with workforce,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",3,negative,-1
2005-02-08,NVDA,LABOR_LAWSUIT,NVDA sued over labor practice allegations,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1
2005-02-12,UNH,FDA_APPROVAL,FDA greenlights UNH's novel drug,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",3,positive,1
2005-02-12,C,REGULATORY_UPDATE,Regulatory changes affect C's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",2,negative,-1
2005-02-13,XOM,REGULATORY_UPDATE,XOM issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,2,negative,-1
2005-02-14,PEP,REGULATORY_UPDATE,PEP issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,0,neutral,0
2005-02-16,NVDA,LABOR_LAWSUIT,Employees file class-action labor lawsuit against NVDA,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1
2005-02-18,SBUX,LABOR_LAWSUIT,Employees file class-action labor lawsuit against SBUX,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1
2005-02-18,MCD,DATA_PRIVACY,MCD under scrutiny for handling of user data,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1
2005-02-22,ABBV,FDA_ACTION,ABBV's drug receives FDA safety alert,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,2,negative,-1
2005-02-25,META,SUPPLY_CHAIN,META resolves supply chain compliance issue,The company disclosed disruptions in its supply chain due to a regulatory investigation into one of its key partners. Management is exploring alternative suppliers to mitigate potential shortages.,1,neutral,0
2005-03-02,NFLX,PATENT_IP,NFLX sues competitor over intellectual property theft,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,1,negative,-1
2005-03-04,HUM,FDA_ACTION,HUM's drug receives FDA safety alert,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,0,negative,-1
2005-03-06,IBM,PATENT_IP,Court rules on intellectual property dispute involving IBM,"In a ruling that could set a precedent for similar disputes, a federal judge sided with the company on key points but left other claims to be decided at trial. The outcome may influence the competitive landscape in the industry.",0,negative,-1
2005-03-08,GOOG,REGULATORY_UPDATE,GOOG responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0
2005-03-09,CVX,REGULATORY_UPDATE,CVX responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",5,negative,-1
2005-03-09,BA,REGULATORY_UPDATE,BA responds to new regulatory requirements,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,2,negative,-1
2005-03-11,BA,ANTITRUST,BA faces antitrust investigation over market practices,A civil suit filed by competitors claims the company engaged in anticompetitive practices that harmed smaller rivals. The case seeks both injunctive relief and monetary damages for affected parties.,1,negative,-1
2005-03-13,COP,SUPPLY_CHAIN,COP faces supply chain disruptions amid regulatory probe,Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,3,negative,-1
2005-03-16,ORCL,DATA_PRIVACY,ORCL fined for violating data privacy regulations,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,0,negative,-1
2005-03-17,TGT,PRODUCT_LIABILITY,TGT faces product liability lawsuit over safety claims,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",2,negative,-1
2005-03-19,GOOG,REGULATORY_UPDATE,GOOG responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0
2005-03-19,BA,ANTITRUST,BA hit with antitrust lawsuit alleging monopolistic conduct,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1
2005-03-24,NFLX,REGULATORY_UPDATE,NFLX issues statement on updated compliance rules,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,1,neutral,0
2005-03-24,HUM,FDA_ACTION,FDA issues warning to HUM over manufacturing practices,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,4,negative,-1
2005-03-26,RTX,ACCOUNTING_FRAUD,RTX executives charged in accounting fraud scheme,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",2,negative,-1
2005-03-28,MCD,LABOR_LAWSUIT,Employees file class-action labor lawsuit against MCD,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1
2005-03-29,MCD,LABOR_LAWSUIT,MCD settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1
2005-03-31,IBM,DATA_PRIVACY,IBM announces data breach affecting customer records,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1
2005-03-31,BAC,ACCOUNTING_FRAUD,BAC executives charged in accounting fraud scheme,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1
2005-04-01,COP,ENVIRONMENTAL,EPA fines COP for pollution and compliance issues,"Environmental regulators allege that the company violated emissions standards, leading to community concerns about pollution. The company has committed to improving environmental controls and cooperating with authorities.",3,negative,-1
2005-04-02,RTX,REGULATORY_UPDATE,RTX issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,3,negative,-1
2005-04-05,GOOG,DATA_PRIVACY,GOOG fined for violating data privacy regulations,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1
2005-04-09,MSFT,LABOR_LAWSUIT,MSFT sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",4,negative,-1
2005-04-16,C,LABOR_LAWSUIT,C sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",1,negative,-1
2005-04-20,BA,ANTITRUST,Regulators probe BA for alleged anticompetitive behavior,"Government agencies have opened an investigation into the company's practices, citing concerns about monopolistic behavior in the tech sector. The company stated it will fully cooperate with authorities and maintain competitive integrity.",3,negative,-1
2005-04-20,BP,ACCOUNTING_FRAUD,Auditors uncover accounting irregularities at BP,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1
2005-04-23,UNH,PATENT_IP,UNH involved in patent infringement lawsuit,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,0,negative,-1
2005-04-25,AMZN,REGULATORY_UPDATE,AMZN issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,0,neutral,0
2005-04-26,MRK,FDA_ACTION,FDA issues warning to MRK over manufacturing practices,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,0,negative,-1
2005-04-26,DIS,REGULATORY_UPDATE,Regulatory changes affect DIS's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0
2005-04-27,JPM,FINRA_ACTION,JPM faces FINRA action over brokerage violations,"Regulators found that the company violated FINRA rules regarding recordkeeping and trade disclosures. In addition to the monetary penalty, the company must implement enhanced oversight protocols.",1,negative,-1
2005-04-28,GOOG,ANTITRUST,GOOG faces antitrust investigation over market practices,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,0,negative,-1
2005-04-29,MCD,LABOR_LAWSUIT,Employees file class-action labor lawsuit against MCD,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1
2005-05-02,NFLX,SEC_ENFORCEMENT,NFLX fined by SEC for disclosure violations,"After an investigation into revenue recognition practices, the company announced it would restate prior earnings. The SEC noted cooperation by the company in resolving the matter.",0,negative,-1
2005-05-03,ORCL,LABOR_LAWSUIT,ORCL settles labor dispute with workforce,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",2,negative,-1
2005-05-04,MRK,PATENT_IP,MRK involved in patent infringement lawsuit,The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,0,negative,-1
2005-05-05,KO,SUPPLY_CHAIN,Regulators scrutinize KO's supply chain practices,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0
2005-05-06,GOOG,LABOR_LAWSUIT,GOOG settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1
2005-05-06,BAC,FINRA_ACTION,FINRA sanctions BAC subsidiary for compliance failures,"Regulators found that the company violated FINRA rules regarding recordkeeping and trade disclosures. In addition to the monetary penalty, the company must implement enhanced oversight protocols.",4,negative,-1
2005-05-09,PG,PRODUCT_LIABILITY,PG reaches settlement in product liability case,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,1,negative,-1
2005-05-14,AMZN,SUPPLY_CHAIN,Regulators scrutinize AMZN's supply chain practices,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",2,negative,-1
2005-05-17,XOM,ACCOUNTING_FRAUD,XOM executives charged in accounting fraud scheme,"Prosecutors allege that company executives participated in a scheme to inflate revenues and conceal losses. The investigation remains ongoing, and the company has placed the employees involved on administrative leave.",0,negative,-1
2005-05-18,META,REGULATORY_UPDATE,META issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",3,negative,-1
2005-05-19,LMT,LABOR_LAWSUIT,LMT sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",3,negative,-1
2005-05-19,MRK,REGULATORY_UPDATE,MRK issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0
2005-05-20,UNH,PRODUCT_LIABILITY,UNH reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,1,negative,-1
2005-05-22,JNJ,PRODUCT_LIABILITY,JNJ reaches settlement in product liability case,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",1,negative,-1
2005-05-23,BP,SUPPLY_CHAIN,BP faces supply chain disruptions amid regulatory probe,Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,3,negative,-1
2005-05-24,AMZN,LABOR_LAWSUIT,AMZN settles labor dispute with workforce,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",1,negative,-1
2005-05-27,XOM,ENVIRONMENTAL,EPA fines XOM for pollution and compliance issues,"The Environmental Protection Agency fined the company for improper disposal of hazardous materials. In response, the company has implemented corrective measures and agreed to periodic audits.",0,negative,-1
2005-05-28,PEP,DATA_PRIVACY,PEP announces data breach affecting customer records,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",1,negative,-1
2005-05-29,WFC,LABOR_LAWSUIT,WFC sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1
2005-05-29,SBUX,LABOR_LAWSUIT,SBUX sued over labor practice allegations,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,3,negative,-1
2005-05-29,NVDA,REGULATORY_UPDATE,NVDA responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",3,negative,-1
2005-05-31,HUM,FDA_APPROVAL,FDA greenlights HUM's novel drug,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",0,positive,1
2005-06-02,UNH,FDA_APPROVAL,FDA greenlights UNH's novel drug,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",0,positive,1
2005-06-03,LLY,REGULATORY_UPDATE,Regulatory changes affect LLY's operations,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,3,negative,-1
2005-06-04,NFLX,ACCOUNTING_FRAUD,Auditors uncover accounting irregularities at NFLX,"Whistleblower reports prompted authorities to examine the company's books for irregularities. Pending the outcome, stakeholders are expressing concerns about financial reporting practices.",1,negative,-1
2005-06-04,COST,PRODUCT_LIABILITY,COST faces product liability lawsuit over safety claims,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",0,negative,-1
2005-06-06,NFLX,ANTITRUST,NFLX faces antitrust investigation over market practices,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,0,negative,-1
2005-06-08,LLY,PRODUCT_LIABILITY,LLY reaches settlement in product liability case,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",2,negative,-1
2005-06-10,CVX,ENVIRONMENTAL,CVX agrees to remediate environmental contamination,"Environmental regulators allege that the company violated emissions standards, leading to community concerns about pollution. The company has committed to improving environmental controls and cooperating with authorities.",1,negative,-1
2005-06-15,CVX,ENVIRONMENTAL,CVX agrees to remediate environmental contamination,"The Environmental Protection Agency fined the company for improper disposal of hazardous materials. In response, the company has implemented corrective measures and agreed to periodic audits.",0,negative,-1
2005-06-21,NVDA,SEC_ENFORCEMENT,NVDA to restate earnings after SEC investigation,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",4,negative,-1
2005-06-21,WMT,REGULATORY_UPDATE,WMT responds to new regulatory requirements,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,0,neutral,0
2005-06-22,MCD,PRODUCT_LIABILITY,MCD faces product liability lawsuit over safety claims,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,0,negative,-1
2005-06-23,JNJ,REGULATORY_UPDATE,JNJ issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0
2005-06-25,SBUX,PRODUCT_LIABILITY,SBUX reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,1,negative,-1
2005-06-28,HD,DATA_PRIVACY,HD fined for violating data privacy regulations,"An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",3,negative,-1
2005-06-29,BA,ACCOUNTING_FRAUD,BA executives charged in accounting fraud scheme,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1
2005-07-02,ABBV,REGULATORY_UPDATE,Regulatory changes affect ABBV's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0
2005-07-02,JNJ,FDA_ACTION,JNJ faces FDA enforcement for marketing violations,The Food and Drug Administration issued a warning letter to the company about manufacturing deficiencies at one of its facilities. The company is addressing the cited issues to avoid further enforcement actions.,3,negative,-1
2005-07-03,COP,ENVIRONMENTAL,COP agrees to remediate environmental contamination,"Environmental regulators allege that the company violated emissions standards, leading to community concerns about pollution. The company has committed to improving environmental controls and cooperating with authorities.",1,negative,-1
2005-07-04,PEP,PRODUCT_LIABILITY,PEP reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,3,negative,-1
2005-07-06,BP,SEC_ENFORCEMENT,SEC charges BP with securities law violations,"After an investigation into revenue recognition practices, the company announced it would restate prior earnings. The SEC noted cooperation by the company in resolving the matter.",2,negative,-1
