date,ticker,event_type,headline,body,severity_true,sentiment,direction_true,original_date,ret_fwd_5d
2005-02-11,BAC,SEC_ENFORCEMENT,BAC to restate earnings after SEC investigation,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",1,negative,-1,2005-01-02,-0.02306728745588149
2005-09-22,NVDA,SEC_ENFORCEMENT,NVDA fined by SEC for disclosure violations,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",2,negative,-1,2005-01-03,0.05396957593639429
2005-08-19,GOOG,SUPPLY_CHAIN,GOOG resolves supply chain compliance issue,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0,2005-01-04,0.012785835449103056
2005-06-20,LMT,LABOR_LAWSUIT,LMT settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-01-05,-0.019153383020085957
2005-04-01,LLY,PATENT_IP,Court rules on intellectual property dispute involving LLY,The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,2,negative,-1,2005-01-08,0.06095009151143804
2005-11-17,PFE,FDA_APPROVAL,PFE announces FDA approval of breakthrough treatment,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",0,positive,1,2005-01-08,0.014987897960319962
2005-02-17,GOOG,REGULATORY_UPDATE,GOOG issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2005-01-10,-0.06078842793828332
2005-09-13,PEP,PRODUCT_LIABILITY,PEP reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,0,negative,-1,2005-01-12,-0.011900398875159257
2005-04-15,MSFT,LABOR_LAWSUIT,MSFT sued over labor practice allegations,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,5,negative,-1,2005-01-17,0.02125883283215213
2005-01-27,XOM,SEC_ENFORCEMENT,SEC charges XOM with securities law violations,The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,1,negative,-1,2005-01-19,0.053526469159606016
2005-08-08,RTX,ANTITRUST,RTX faces antitrust investigation over market practices,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1,2005-01-19,0.04863204362778206
2005-10-27,BA,ANTITRUST,BA hit with antitrust lawsuit alleging monopolistic conduct,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,3,negative,-1,2005-01-19,0.022638311416431245
2005-07-29,ORCL,LABOR_LAWSUIT,ORCL sued over labor practice allegations,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,2,negative,-1,2005-01-21,-0.021370736556773684
2005-10-12,BAC,FINRA_ACTION,FINRA sanctions BAC subsidiary for compliance failures,The Financial Industry Regulatory Authority sanctioned the company's brokerage division for failing to supervise certain trades. The action includes a fine and remedial measures to improve compliance.,1,negative,-1,2005-01-22,0.013129324379467455
2005-09-21,COST,DATA_PRIVACY,COST fined for violating data privacy regulations,"An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",1,negative,-1,2005-01-29,0.02266109464107302
2005-10-17,TGT,LABOR_LAWSUIT,Employees file class-action labor lawsuit against TGT,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",1,negative,-1,2005-01-31,0.03680054919771503
2005-07-21,C,LABOR_LAWSUIT,Employees file class-action labor lawsuit against C,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,1,negative,-1,2005-02-05,0.003376868902267516
2005-02-10,JPM,ACCOUNTING_FRAUD,JPM investigated over alleged accounting misconduct,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1,2005-02-08,-0.017890658136575754
2005-10-13,GS,LABOR_LAWSUIT,GS settles labor dispute with workforce,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",3,negative,-1,2005-02-08,0.051382787060760604
2005-07-01,NVDA,LABOR_LAWSUIT,NVDA sued over labor practice allegations,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-02-08,0.06408195437946329
2005-07-26,UNH,FDA_APPROVAL,FDA greenlights UNH's novel drug,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",3,positive,1,2005-02-12,0.019807705898110095
2005-04-28,C,REGULATORY_UPDATE,Regulatory changes affect C's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",2,negative,-1,2005-02-12,0.014937990375296861
2005-04-13,XOM,REGULATORY_UPDATE,XOM issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,2,negative,-1,2005-02-13,-0.03398218750846027
2005-12-09,PEP,REGULATORY_UPDATE,PEP issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,0,neutral,0,2005-02-14,0.013897865073209559
2005-10-20,NVDA,LABOR_LAWSUIT,Employees file class-action labor lawsuit against NVDA,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2005-02-16,-0.009762875797584503
2005-08-24,SBUX,LABOR_LAWSUIT,Employees file class-action labor lawsuit against SBUX,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-02-18,
2005-05-25,MCD,DATA_PRIVACY,MCD under scrutiny for handling of user data,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1,2005-02-18,0.007445566912934298
2022-01-20,ABBV,FDA_ACTION,ABBV's drug receives FDA safety alert,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,2,negative,-1,2005-02-22,0.02210041703135035
2005-07-20,META,SUPPLY_CHAIN,META resolves supply chain compliance issue,The company disclosed disruptions in its supply chain due to a regulatory investigation into one of its key partners. Management is exploring alternative suppliers to mitigate potential shortages.,1,neutral,0,2005-02-25,
2005-06-13,NFLX,PATENT_IP,NFLX sues competitor over intellectual property theft,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,1,negative,-1,2005-03-02,
2005-06-16,HUM,FDA_ACTION,HUM's drug receives FDA safety alert,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,0,negative,-1,2005-03-04,-0.006969436000387796
2005-03-22,IBM,PATENT_IP,Court rules on intellectual property dispute involving IBM,"In a ruling that could set a precedent for similar disputes, a federal judge sided with the company on key points but left other claims to be decided at trial. The outcome may influence the competitive landscape in the industry.",0,negative,-1,2005-03-06,0.013183823448628562
2005-02-18,GOOG,REGULATORY_UPDATE,GOOG responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2005-03-08,-0.05031564619464457
2005-10-06,CVX,REGULATORY_UPDATE,CVX responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",5,negative,-1,2005-03-09,-0.007666766571687855
2005-10-20,BA,REGULATORY_UPDATE,BA responds to new regulatory requirements,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,2,negative,-1,2005-03-09,-0.048291301249966834
2005-01-26,BA,ANTITRUST,BA faces antitrust investigation over market practices,A civil suit filed by competitors claims the company engaged in anticompetitive practices that harmed smaller rivals. The case seeks both injunctive relief and monetary damages for affected parties.,1,negative,-1,2005-03-11,0.047533212347862897
2005-12-12,COP,SUPPLY_CHAIN,COP faces supply chain disruptions amid regulatory probe,Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,3,negative,-1,2005-03-13,-0.043264941055537465
2005-11-08,ORCL,DATA_PRIVACY,ORCL fined for violating data privacy regulations,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,0,negative,-1,2005-03-16,0.003962182797724312
2005-06-24,TGT,PRODUCT_LIABILITY,TGT faces product liability lawsuit over safety claims,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",2,negative,-1,2005-03-17,0.009062690570191823
2005-08-17,GOOG,REGULATORY_UPDATE,GOOG responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2005-03-19,-0.008874123173927662
2005-03-07,BA,ANTITRUST,BA hit with antitrust lawsuit alleging monopolistic conduct,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1,2005-03-19,-0.010119762462370674
2005-10-05,NFLX,REGULATORY_UPDATE,NFLX issues statement on updated compliance rules,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,1,neutral,0,2005-03-24,
2005-10-05,HUM,FDA_ACTION,FDA issues warning to HUM over manufacturing practices,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,4,negative,-1,2005-03-24,-0.02803953576630891
2005-03-09,RTX,ACCOUNTING_FRAUD,RTX executives charged in accounting fraud scheme,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",2,negative,-1,2005-03-26,0.00964773740014957
