date,ticker,event_type,headline,body,severity_true,sentiment,direction_true,original_date,ret_fwd_5d,event_type_coarse,text,event_type_hat,severity_hat,severity_hat_rounded,p_alpha_hat
2005-02-11,BAC,SEC_ENFORCEMENT,BAC to restate earnings after SEC investigation,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",1,negative,-1,2005-01-02,-0.0230672874558814,SEC_ENFORCEMENT,"[UNKNOWN] BAC to restate earnings after SEC investigation According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",SEC_ENFORCEMENT,1.69580601870414,2,0.2758716813237372
2005-09-22,NVDA,SEC_ENFORCEMENT,NVDA fined by SEC for disclosure violations,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",2,negative,-1,2005-01-03,0.0539695759363942,SEC_ENFORCEMENT,"[UNKNOWN] NVDA fined by SEC for disclosure violations According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",SEC_ENFORCEMENT,1.336667955103461,1,0.19845186428372455
2005-08-19,GOOG,SUPPLY_CHAIN,GOOG resolves supply chain compliance issue,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0,2005-01-04,0.012785835449103,OTHER_REGULATORY,"[UNKNOWN] GOOG resolves supply chain compliance issue After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",OTHER_REGULATORY,0.9888663149343286,1,0.14023247858082888
2005-06-20,LMT,LABOR_LAWSUIT,LMT settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-01-05,-0.0191533830200859,LABOR_LAWSUIT,[UNKNOWN] LMT settles labor dispute with workforce A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,LABOR_LAWSUIT,0.9448421428690787,1,0.13398325342083672
2005-04-01,LLY,PATENT_IP,Court rules on intellectual property dispute involving LLY,The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,2,negative,-1,2005-01-08,0.060950091511438,PATENT_IP,[UNKNOWN] Court rules on intellectual property dispute involving LLY The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,PATENT_IP,1.5385082930625924,2,0.23979749629003122
2005-11-17,PFE,FDA_APPROVAL,PFE announces FDA approval of breakthrough treatment,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",0,positive,1,2005-01-08,0.0149878979603199,FDA_APPROVAL,"[UNKNOWN] PFE announces FDA approval of breakthrough treatment After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",FDA_APPROVAL,1.251140011276541,1,0.18262964681964539
2005-02-17,GOOG,REGULATORY_UPDATE,GOOG issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2005-01-10,-0.0607884279382833,OTHER_REGULATORY,"[UNKNOWN] GOOG issues statement on updated compliance rules In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",OTHER_REGULATORY,1.4375366666241927,1,0.21841004710820244
2005-09-13,PEP,PRODUCT_LIABILITY,PEP reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,0,negative,-1,2005-01-12,-0.0119003988751592,PRODUCT_LIABILITY,[UNKNOWN] PEP reaches settlement in product liability case Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,PRODUCT_LIABILITY,1.40854030881655,1,0.21252840847577711
2005-04-15,MSFT,LABOR_LAWSUIT,MSFT sued over labor practice allegations,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,5,negative,-1,2005-01-17,0.0212588328321521,LABOR_LAWSUIT,[UNKNOWN] MSFT sued over labor practice allegations Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,LABOR_LAWSUIT,1.8342930241474136,2,0.31027191735719667
2005-01-27,XOM,SEC_ENFORCEMENT,SEC charges XOM with securities law violations,The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,1,negative,-1,2005-01-19,0.053526469159606,SEC_ENFORCEMENT,[UNKNOWN] SEC charges XOM with securities law violations The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,SEC_ENFORCEMENT,1.0385226794812352,1,0.1475719712203257
